"","mean","sd","min","max"
"pre",5.31333578238646e-09,3.44271163786739e-08,2.09832151654155e-14,1.37865879501486e-06
"post",1.39755085848403e-10,9.05527864945957e-10,5.55111512312578e-16,3.62626023653334e-08
