"","mean","sd","min","max"
"pre",0.000216750400999727,0.00136986998003209,9.40896027756821e-10,0.0533537827914274
"post",5.72621224797084e-06,3.65447609714831e-05,2.47480924642218e-11,0.00144113225613862
