"","mean","sd","min","max"
"pre",1.93395181989053e-05,0.00012334703810676,8.36071212262368e-11,0.00486027681150913
"post",5.0888109147067e-07,3.24847318514306e-06,2.19912976717751e-12,0.000128141769502932
