"","mean","sd","min","max"
"pre",0.000505872206481624,0.0030283980923206,2.27478973676303e-09,0.0880997644308353
"post",1.33057947269811e-05,7.9654985689479e-05,5.98330663289991e-11,0.00231725990475949
