"","mean","sd","min","max"
"pre",0.000358699405634961,0.0022898334744247,1.55007584332704e-09,0.0903292228476968
"post",9.43475565353536e-06,6.02287569454987e-05,4.07711487571335e-11,0.00237590063589082
