"","mean","sd","min","max"
"pre",5.62021981484362e-08,3.64151929648646e-07,2.22377671832419e-13,1.45825591180149e-05
"post",1.47827563321545e-09,9.57832366488888e-09,5.88418203051333e-15,3.83571671425109e-07
