"","mean","sd","min","max"
"pre",1.64772526875289e-05,0.000106094523351999,6.53871401468109e-11,0.00421585736794761
"post",4.34576024090061e-07,2.81531699706715e-06,1.71984648744683e-12,0.000112718421254709
