"","mean","sd","min","max"
"pre",0.000219669515137314,0.00131502937794519,1.02192164037626e-09,0.0382554007097176
"post",5.77789694460855e-06,3.45887968121133e-05,2.6879277809069e-11,0.00100621956003902
